PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition @ 10uM (Full Library),Inhibition @ 10uM (10K Replicate 1),Inhibition @ 10uM (10K Replicate 2),Verification
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,,,,Data has been verified
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,10,10,
1,7967946,135444927,CCC1=C(N=C(NC1=O)SCC(=O)NC2=CC=C(C=C2)Br)C,Inactive,0,,,1.58,-1.41,4.21,verified
2,7971606,1548115,CC1=CC(=C(C(=C1)C)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)C,Inactive,0,,,1.48,-0.93,11.89,verified
3,7965605,1513417,CN1CCC(CC1)OC(=O)C2=CC3=C(C(=CC=C3)OC)OC2=O,Inactive,0,,,-5.09,0.34,-6.73,verified
4,7971746,1547898,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2OC,Inactive,0,,,-2.32,0.22,-2.64,verified
5,7968422,3322411,CC1C(=O)N(CC2=CC=CC=C2O1)C3=CC=C(C=C3)C,Inactive,1,,,4.79,7.73,-1.1,verified
6,7965366,2188953,CCOC1=CC=C(C=C1)NC(=O)CSC2=NN=C(O2)COC3=C(C=CC=C3C)C,Inactive,2,,,5.52,3.54,3.86,verified
7,7970464,4132225,CC1=CC(=CC=C1)N2C=CN=C2SCC(=O)NC3=NN=C(S3)C,Inactive,0,,,-4.39,-4.69,-2.98,verified
8,7968841,4688869,CC1=CC2=C(C=C1C)N(C=N2)C3CC(=O)N(C3=O)CC4=CC=C(C=C4)N5CCCC5=O,Inactive,0,,,2.19,9.53,5.77,verified
9,7970303,4151821,CCC1=NN=C(S1)NC(=O)CSC2=NC=CN2C3=CC=CC(=C3C)C,Inactive,0,,,-9.06,-4.32,-16,verified
10,7965062,762653,COC1=CC=CC=C1NC(=O)N2CCN(CC2)C3=CC=CC=N3,Inactive,0,,,-2.05,-1.22,-0.95,verified
11,7971044,2159269,C1=COC(=C1)C(=O)NC2=NC3=C(C=CC(=C3S2)Cl)Cl,Inactive,0,,,-15.73,-6.82,-36.92,verified
