PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HTS FI Ex360_ Em465,Z-score,Plate Mean FI,Plate STD Dev FI,HTS Assay Date
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Raw fluorescent intensity value at excitation 360 nm and emission 465 nm measured on the M5 microtiter plate reader,"Z-score computed on a plate by plate basis, where the Z-zcore for the raw value of Xi is: Zi=(Xi-Xm)/Sm",Mean of the raw fluorescent intensity values of all the compounds on a plate (n=320)at excitation 360 nm and emission 465 nm measured on the M5 microtiter plate reader,Standard deviation from the Mean of the raw fluorescent intensity values of all the compounds on a plate (n=320)at excitation 360 nm and emission 465 nm measured on the M5 microtiter plate reader,Date the HTS assay was run
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,
1,856109,566801,CN1C2C(N(C1=O)CN3CCCCC3)N(C(=O)N2C)CN4CCCCC4,Active,40,,,2245.07,-11.59,36081.8,2919.08,Dec 12 2006
2,3717586,2366780,CC1=NN(C(=C1)OC(=O)C2=CC=CC=C2)CCC#N,Active,40,,,7584.24,-11.44,30973.6,2044.21,Dec 15 2006
3,845259,647599,C1=COC(=C1)C(=O)OC2=NN(C(=C2)N)S(=O)(=O)C3=CC=C(C=C3)F,Active,40,,,2713.69,-11.22,33134.1,2710.81,Dec 18 2006
4,861634,662872,COC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=C(C=C4)OC,Active,40,,,2162.97,-9.62,38102.7,3735.67,Dec 12 2006
5,860512,661798,CC(C)N1C2=C(C=NC=C2)N=C1C3=CN=CC=C3,Active,40,,,3085.5,-9.37,38102.7,3735.67,Dec 12 2006
6,848669,651121,CC1=CC(=CC(=C1)NC(=O)CSC2=NN=C(N2C3=CC=CC=C3OC)C)C,Active,40,,,1018.2,-9.13,26774.4,2820.73,Dec 12 2006
7,857594,135449561,COC1=CC=CC=C1N2C(=O)C(=C(N=C2SCC(=O)N3CCOCC3)O)CC4=CC=CC=C4,Active,40,,,16015.9,-8.64,43764.6,3211.54,Dec 12 2006
8,845453,647804,CCOC1=CC=CC=C1N(CC(=O)NC2CCCC2)C(=O)CCC(=O)NC3=NOC(=C3)C,Active,40,,,12655.4,-8.59,36828.5,2811.69,Dec 12 2006
9,860449,5389355,CC1=CC=C(C=C1)OCCOC2=NN=C(C=C2)OC3=NC(=CC(=N3)OC)C,Active,40,,,-345.16,-8.5,29740.8,3537.6,Jan  2 2007
10,856223,572006,CC1=C(C(=O)OC(C1)(C)C)C#N,Active,40,,,1125.65,-8.22,30577.1,3582.13,Jan  2 2007
11,4249135,3243128,C1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CS3)N,Active,40,,,2458.68,-8.13,22919.9,2516.3,Dec 15 2006
12,858403,659729,CCSC1=NN=C(S1)NC(=O)NCC(F)(F)F,Active,40,,,943.61,-7.81,30932.7,3838.05,Jan  2 2007
13,851299,653862,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CO3)N,Active,40,,,3436.83,-7.66,29927.5,3455.79,Dec 15 2006
14,3716142,2999490,CCN(CC(=O)NC1=CC=CC=C1OC)C(=O)C2CC3CC2C=C3,Active,40,,,12152.6,-7.51,28597.5,2189.71,Dec 18 2006
15,856587,369507,COC1=CC=C(C=C1)C2=CN3C=CSC3=N2,Active,40,,,2130.04,-7.48,26361.5,3235.93,Jan  2 2007
16,856802,658157,CN1CCC2=C(C1)SC3=C2C(=O)N(C(=N3)SCC(=O)OC)CC=C,Active,40,,,2517.73,-7.36,26361.5,3235.93,Jan  2 2007
17,4242865,3237664,COC1=CC=C(C=C1)N2CCN(CC2)C(CNC(=O)OC3=CC=CC=C3)C4=CN=CC=C4,Active,40,,,14826.4,-7.25,27267.1,1715.14,Dec 15 2006
18,861595,662835,CC1(CC2=C(CS1)SC3=C2C(=O)N(C(=N3)NC)C)C,Active,40,,,2985.09,-7.01,34356.9,4469.8,Dec 12 2006
19,861065,662334,CCC1=C(C(=C(C(=N1)N)C#N)C2=CC=CN2C)C,Active,40,,,17622.8,-6.79,35481.6,2626.37,Dec 12 2006
20,858256,65327,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Active,40,,,14635.6,-6.73,33207.9,2757.21,Dec 12 2006
21,857905,6603059,CN1C=C(C2=CC=CC=C21)C(=O)NCN3CCCCC3.Cl,Active,40,,,-30.25,-6.57,25609,3898.62,Jan  2 2007
22,857952,659302,C=CCC1(C(=O)NC(=O)NC1=O)CN2CCCCCC2=O,Active,40,,,215.02,-6.51,25609,3898.62,Jan  2 2007
23,4256914,2965813,CC1=C(C=C(C=C1)NC(=O)C2C3CC4C2C(=O)OC4C3)Cl,Active,40,,,5575.77,-6.43,16261.1,1659.57,Dec 19 2006
24,856119,9566888,C/C(=N\O)/CC1(C2=CC=CC=C2N(C1=O)CC3=CC=CC=C3)O,Active,40,,,597.77,-6.41,25609,3898.62,Jan  2 2007
25,844213,646525,CC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CS3)N,Active,40,,,7809.58,-6.4,29927.5,3455.79,Dec 15 2006
26,843272,645553,CN1C2=C(C=CC=N2)N=C1SCC(=O)NC3=NC4=C(S3)C=C(C=C4)OC,Active,40,,,1871.8,-6.36,23192.8,3350.64,Dec 18 2006
27,852843,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,40,,,7938.1,-6.36,29927.5,3455.79,Dec 15 2006
28,4248525,3242592,C1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3Br)N,Active,40,,,7310.71,-6.2,22919.9,2516.3,Dec 15 2006
29,848693,651144,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)NC3=CC=CC(=C3)C(=O)OC,Active,40,,,997.28,-6.17,32409.9,5083.11,Dec 12 2006
30,842482,644746,COC1=C(C=C(C=C1)CCNC(=O)CSC2=NN=C(O2)C3=CC=C(C=C3)F)OC,Active,40,,,1365.88,-6.1,32409.9,5083.11,Dec 12 2006
31,850084,652593,COC1=CC(=C(C=C1)OC)NS(=O)(=O)C2=CC=CS2,Active,40,,,1964.19,-5.98,32409.9,5083.11,Dec 12 2006
32,856257,6603061,C1CCN(CC1)CCCNCC(COC2=CC=CC=C2)O.Cl,Active,40,,,2373.01,-5.96,25609,3898.62,Jan  2 2007
33,858140,659497,COC1=CC(=CC(=C1OC)OC)C2CC(N3C(=C(C=N3)C(=O)O)N2)C(F)(F)F,Active,40,,,3038.8,-5.78,25609,3898.62,Jan  2 2007
34,847169,649567,CC(=O)NC1=NC2=CC=CC=C2N1CCOC3=CC=CC=C3Cl,Active,40,,,19546.8,-5.59,26826.6,1301.19,Dec 15 2006
35,4249712,3243626,CC1=CC=CC=C1S(=O)(=O)CC2=CC=C(O2)C(=O)NCCCOC(C)C,Active,40,,,17954.9,-5.59,33134.1,2710.81,Dec 18 2006
36,4249621,3243550,C1CCC(CC1)OC(=O)C2=CC3=C(C=C2)NC(C4C3C=CC4)C(=O)O,Active,40,,,16792.8,-5.58,26804.5,1791.33,Dec 15 2006
37,861425,662670,COC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)C3=CC4=C(C=C3)OCO4,Active,40,,,3008.64,-5.57,16296.8,2382.48,Dec 21 2006
38,4245669,3240114,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CS3)N,Active,40,,,1055.24,-5.56,14732.8,2456.85,Dec 15 2006
39,850992,653545,CCOC(=O)C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)OC,Active,40,,,20542.5,-5.54,28549,1444.27,Dec 15 2006
40,845565,647922,CC1=C(C=CC(=C1)NC(=O)C2=C(C3=CC=CC=C3O2)C)N4C=NN=N4,Active,40,,,1258.43,-5.5,26102.6,4511.96,Dec 12 2006
41,849441,651936,CC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CO3)N,Active,40,,,5736.19,-5.35,24461.2,3509.4,Dec 15 2006
42,4247730,3241895,C1=CSC(=C1)C(=O)OC2=NN(C(=C2)N)S(=O)(=O)C3=CC=C(C=C3)F,Active,40,,,1799.4,-5.26,14732.8,2456.85,Dec 15 2006
43,4259106,900740,CN1C2=C(C=C(C=C2)C(=O)NC3CCCCC3)N=N1,Active,40,,,1300.82,-5.19,17919.3,3198.07,Dec 19 2006
44,849358,651847,CCOC(=O)N1CCN(CC1)C2=CC(=O)OC23CCCCC3,Active,40,,,23815.2,-5.16,37651.6,2677.72,Dec 12 2006
45,842882,98928,CC(=O)N1CSCC1C(=O)O,Active,40,,,2849.15,-5.15,26102.6,4511.96,Dec 12 2006
